log10_temperature_K,AIA_94_DN_cm5_s-1_pix-1,AIA_131_DN_cm5_s-1_pix-1,AIA_171_DN_cm5_s-1_pix-1,AIA_193_DN_cm5_s-1_pix-1,AIA_211_DN_cm5_s-1_pix-1,AIA_335_DN_cm5_s-1_pix-1
4.00000,3.588447897e-37,1.870129503e-37,3.387282423e-32,4.369211912e-32,2.623470324e-32,5.369918919e-33
4.05000,3.680103211e-36,1.892742273e-36,2.617401765e-31,3.363515522e-31,2.017282577e-31,4.121272722e-32
4.10000,3.014621212e-35,1.536851193e-35,1.574260648e-30,2.016025882e-30,1.207659115e-30,2.462575909e-31
4.15000,1.842041435e-34,9.372569035e-35,6.848260288e-30,8.741647768e-30,5.230737510e-30,1.064774386e-30
4.20000,7.578387491e-34,3.910458287e-34,1.865992680e-29,2.374355914e-29,1.419941527e-29,2.887351391e-30
4.25000,2.267041745e-33,1.215894226e-33,3.171127936e-29,4.020677225e-29,2.407732360e-29,4.902441594e-30
4.30000,6.328477343e-33,3.557946210e-33,4.183817731e-29,5.277209435e-29,3.182670298e-29,6.536391666e-30
4.35000,1.786565402e-32,1.034170831e-32,5.327503869e-29,6.661082558e-29,4.095569171e-29,8.614143575e-30
4.40000,4.557101655e-32,2.658516781e-32,7.359714328e-29,9.093252628e-29,5.761925069e-29,1.257152358e-29
4.45000,8.690837965e-32,5.034272667e-32,1.055392005e-28,1.293036915e-28,8.349696158e-29,1.867535740e-29
4.50000,1.129855187e-31,6.412889809e-32,1.421325813e-28,1.740862656e-28,1.113708030e-28,2.481407267e-29
4.55000,1.189478923e-31,6.473015701e-32,1.930381506e-28,2.373984092e-28,1.480112253e-28,3.233146000e-29
4.60000,1.308093868e-31,6.541367037e-32,2.880339656e-28,3.551914779e-28,2.170180386e-28,4.693605500e-29
4.65000,1.752275346e-31,7.582936383e-32,4.657574179e-28,5.743047440e-28,3.493134621e-28,7.648236911e-29
4.70000,2.887719894e-31,1.059491886e-31,7.786181718e-28,9.593986629e-28,5.909603490e-28,1.331595172e-28
4.75000,5.328949403e-31,1.922355273e-31,1.291497946e-27,1.596520921e-27,1.013452421e-27,2.353120240e-28
4.80000,9.841036853e-31,5.239122587e-31,2.068585540e-27,2.592203045e-27,1.719618406e-27,4.036757271e-28
4.85000,1.649420385e-30,1.851406326e-30,3.111641660e-27,4.007702090e-27,2.773552579e-27,6.344285810e-28
4.90000,2.345608570e-30,5.717454240e-30,4.244079134e-27,5.647690723e-27,3.981004753e-27,8.578666012e-28
4.95000,2.900599434e-30,1.308079647e-29,5.255824110e-27,7.163719374e-27,5.007171328e-27,1.008395135e-27
5.00000,3.411473875e-30,2.359889914e-29,6.168293141e-27,8.549781022e-27,5.889956340e-27,1.117614188e-27
5.05000,4.014375751e-30,3.685423136e-29,7.082141423e-27,1.006960309e-26,6.922538012e-27,1.232410103e-27
5.10000,4.774944282e-30,5.237745761e-29,8.123649521e-27,1.213117596e-26,8.386718780e-27,1.370326815e-27
5.15000,5.661805445e-30,6.973295308e-29,9.539826175e-27,1.541067550e-26,1.045546354e-26,1.530007453e-27
5.20000,6.591249382e-30,8.979823440e-29,1.180466223e-26,2.108222973e-26,1.312394261e-26,1.692163431e-27
5.25000,7.541646434e-30,1.204545661e-28,1.558456433e-26,3.076076479e-26,1.609611302e-26,1.810483321e-27
5.30000,8.663996020e-30,2.041914778e-28,2.164488486e-26,4.587895338e-26,1.885652142e-26,1.863451961e-27
5.35000,1.063635750e-29,5.171493328e-28,3.018914080e-26,6.581550611e-26,2.100781107e-26,1.876235085e-27
5.40000,1.591718808e-29,1.565468198e-27,3.883395225e-26,8.379524956e-26,2.165222737e-26,1.769019821e-27
5.45000,3.060147985e-29,4.145532335e-27,4.176240271e-26,8.644811504e-26,1.929998229e-26,1.420741257e-27
5.50000,6.336884517e-29,8.579504692e-27,3.803503838e-26,7.390687928e-26,1.519195388e-26,9.900943281e-28
5.55000,1.201746964e-28,1.440653566e-26,4.052843125e-26,6.631021198e-26,1.268983906e-26,7.777912978e-28
5.60000,2.008688102e-28,2.086861894e-26,6.395363858e-26,6.957809338e-26,1.209437787e-26,7.821008759e-28
5.65000,2.999207048e-28,2.696360910e-26,1.206238836e-25,7.779710421e-26,1.238570041e-26,8.776545118e-28
5.70000,4.094715329e-28,3.151130391e-26,2.221978496e-25,8.657862159e-26,1.313727517e-26,9.882880249e-28
5.75000,5.240225785e-28,3.338731248e-26,3.731809514e-25,9.428248596e-26,1.433649292e-26,1.080834634e-27
5.80000,6.468930967e-28,3.214086430e-26,5.608728364e-25,1.007958297e-25,1.600335721e-26,1.141054312e-27
5.85000,7.855354998e-28,2.825834563e-26,7.494296081e-25,1.070823474e-25,1.803155806e-26,1.174503239e-27
5.90000,9.331129583e-28,2.266914526e-26,8.850548810e-25,1.158017157e-25,2.012554186e-26,1.181125082e-27
5.95000,1.062013077e-27,1.646817371e-26,9.144094537e-25,1.329703382e-25,2.194673090e-26,1.144608033e-27
6.00000,1.134417061e-27,1.080584587e-26,8.128836305e-25,1.706725021e-25,2.385355412e-26,1.069242461e-27
6.05000,1.124476422e-27,6.530291794e-27,6.088548055e-25,2.442769748e-25,2.770528741e-26,9.845075428e-28
6.10000,1.032590125e-27,3.822141996e-27,3.756947635e-25,3.531590710e-25,3.739619684e-26,8.991492553e-28
6.15000,8.922341538e-28,2.330845527e-27,1.869952683e-25,4.504376218e-25,5.873395211e-26,7.994303657e-28
6.20000,7.793388411e-28,1.538117308e-27,7.545867906e-26,4.532501303e-25,9.345257156e-26,7.393997270e-28
6.25000,7.417731711e-28,1.089674822e-27,2.899054883e-26,3.305227453e-25,1.242279919e-25,8.293280048e-28
6.30000,6.774604501e-28,8.206228149e-28,1.795512574e-26,1.645424853e-25,1.181537913e-25,1.092617628e-27
6.35000,4.961759782e-28,6.549152973e-28,1.749852675e-26,5.881265555e-26,7.717751332e-26,1.347334620e-27
6.40000,3.227512928e-28,5.510299861e-28,1.416700343e-26,1.989592850e-26,3.908064493e-26,1.412966569e-27
6.45000,2.629919527e-28,4.844431862e-28,7.344976567e-27,9.099734997e-27,1.802292945e-26,1.313776312e-27
6.50000,3.256750830e-28,4.365927244e-28,2.808869891e-27,6.169779073e-27,8.450906579e-27,1.141191873e-27
6.55000,5.056421628e-28,3.961865236e-28,1.283737815e-27,5.314641970e-27,4.445150333e-27,9.510064983e-28
6.60000,8.084585650e-28,3.609213266e-28,9.545647132e-28,4.975736198e-27,2.907020274e-27,7.677132210e-28
6.65000,1.238160161e-27,3.352600134e-28,8.717843274e-28,5.050040078e-27,2.362654032e-27,6.007868013e-28
6.70000,1.776110710e-27,3.296301272e-28,7.483535744e-28,5.493473193e-27,2.027503610e-27,4.534473453e-28
6.75000,2.359016760e-27,3.711917097e-28,5.793871473e-28,5.551771665e-27,1.583299803e-27,3.281134103e-28
6.80000,2.865705152e-27,5.402088680e-28,4.427716592e-28,4.725003758e-27,1.113648272e-27,2.275201437e-28
6.85000,3.132989009e-27,1.038404138e-27,3.668721349e-28,3.496312297e-27,7.653428977e-28,1.551036669e-28
6.90000,3.016639231e-27,2.220078441e-27,3.380166411e-28,2.452625062e-27,5.474501567e-28,1.162128603e-28
6.95000,2.491633216e-27,4.364963694e-27,3.376958718e-28,1.839277973e-27,4.140585859e-28,1.133395571e-28
7.00000,1.713185341e-27,7.035553976e-27,3.403870266e-28,1.940342206e-27,3.342944048e-28,1.353441496e-28
7.05000,9.571111981e-28,8.706491210e-27,3.241327689e-28,3.456570623e-27,2.939022626e-28,1.521595904e-28
7.10000,4.334653445e-28,8.027429808e-27,2.895180701e-28,6.909222833e-27,2.789907865e-28,1.369577958e-28
7.15000,1.699613989e-28,5.644672067e-27,2.540314747e-28,1.115541309e-26,2.733112022e-28,9.680830772e-29
7.20000,6.887590432e-29,3.296232344e-27,2.279379082e-28,1.410463008e-26,2.660482596e-28,5.808496931e-29
7.25000,3.616679920e-29,1.790110444e-27,2.098872575e-28,1.497255571e-26,2.547551620e-28,3.322985963e-29
7.30000,2.606355749e-29,9.948428973e-28,1.962880529e-28,1.432914941e-26,2.412357961e-28,1.996871465e-29
7.35000,2.268569105e-29,5.997586659e-28,1.851156642e-28,1.295023648e-26,2.273671635e-28,1.324881251e-29
7.40000,2.125633003e-29,4.007014813e-28,1.755027133e-28,1.134780309e-26,2.141180306e-28,9.756643745e-30
7.45000,2.041278113e-29,2.949054483e-28,1.669985111e-28,9.759959344e-27,2.017486060e-28,7.818652503e-30
7.50000,1.975617368e-29,2.345727588e-28,1.593341356e-28,8.289693099e-27,1.902787344e-28,6.651863385e-30
7.55000,1.916526758e-29,1.975121468e-28,1.523197752e-28,6.963543029e-27,1.796650598e-28,5.889419923e-30
