region,stage,em_cm-5,dem_weighted_temperature_K,chisq,normalized_residual_rms,negative_dem_fraction
source,pre,1.39319644e+28,6.85297722e+06,0.634885,0.796797,0
source,early,3.53284147e+28,8.55636996e+06,0.817655,0.904243,0
source,late,8.83786899e+28,7.83818055e+06,0.744596,0.8629,0
dimming,pre,1.24407210e+27,4.17869290e+06,1.14305,1.06913,0
dimming,early,1.19818392e+27,3.98625168e+06,1.1362,1.06593,0
dimming,late,1.14490587e+27,4.08813810e+06,1.21093,1.10042,0
front_geometric,pre,4.55339051e+26,3.67612515e+06,0.732583,0.855911,0
front_geometric,early,4.60368008e+26,3.68145475e+06,0.734408,0.856976,0
front_geometric,late,4.70854341e+26,3.59735783e+06,0.747449,0.864551,0
front_bright_subset,pre,4.59488163e+26,3.69198293e+06,0.70056,0.836995,0
front_bright_subset,early,4.74275583e+26,3.71811532e+06,0.729356,0.854023,0
front_bright_subset,late,5.03209429e+26,3.70339610e+06,0.719422,0.848188,0
front_control_inner,pre,4.34388074e+26,3.79476422e+06,0.693962,0.833044,0
front_control_inner,early,4.43956301e+26,3.82230713e+06,0.683903,0.826984,0
front_control_inner,late,4.45715573e+26,3.62751747e+06,0.679403,0.824259,0
front_control_outer,pre,4.48236304e+26,3.69793362e+06,0.759596,0.871548,0
front_control_outer,early,4.60339256e+26,3.79206023e+06,0.776488,0.881186,0
front_control_outer,late,4.52076297e+26,3.45590060e+06,0.812511,0.901394,0
