region,stage,nominal_tag,date_obs,channel_angstrom,exposure_s,n_pixels,mean_dn_s,median_dn_s,spatial_mad_dn_s,saturation_fraction_gt15000_dn
source,pre,140400,2017-04-03T14:03:59.120000,94,2.900843,172,16.806071848361604,11.180650572177605,7.867824677326678,0.0
source,pre,140400,2017-04-03T14:04:06.620000,131,2.90135,172,54.13586686357742,48.66933605131532,27.020393460325646,0.0
source,pre,140400,2017-04-03T14:04:09.350000,171,2.00018,172,782.3197465558817,708.9175127103238,200.50922608931964,0.0
source,pre,140400,2017-04-03T14:04:07.030000,193,0.410796,172,1025.5686911592363,944.7178057002659,274.0220713712329,0.0
source,pre,140400,2017-04-03T14:03:57.630000,211,2.900767,172,345.67476922411294,304.51828400605086,85.12359835942993,0.0
source,pre,140400,2017-04-03T14:04:00.620000,335,2.900829,172,10.174025729784171,8.526793793469324,3.769834167886437,0.0
source,early,142000,2017-04-03T14:19:59.120000,94,2.900842,172,51.45110918197664,25.582020758027515,21.533852345306396,0.0
source,early,142000,2017-04-03T14:20:06.630000,131,2.901345,172,176.64872511366931,99.08806254447148,84.35147427036995,0.0
source,early,142000,2017-04-03T14:20:09.340000,171,2.000181,172,1305.7105447525935,902.9646054484508,415.8363290160857,0.0
source,early,142000,2017-04-03T14:20:06.640000,193,0.689326,172,1622.7419739538234,1184.9893511020823,581.7246176136077,0.0
source,early,142000,2017-04-03T14:19:57.630000,211,2.900771,172,526.9127162377298,376.4429458396253,179.58931919534035,0.0
source,early,142000,2017-04-03T14:20:00.630000,335,2.900824,172,17.45867622980477,11.658953185689349,6.739154733227324,0.0
source,late,144400,2017-04-03T14:43:59.120000,94,2.900843,172,162.87414190317514,123.64786247018688,92.34773325818479,0.0
source,late,144400,2017-04-03T14:44:09.600000,131,0.718117,172,341.4534373378667,261.1861515363889,215.5147866376975,0.0
source,late,144400,2017-04-03T14:44:09.350000,171,2.000177,172,2348.1859845737945,1657.9490236245877,950.5251085036874,0.023255813953488372
source,late,144400,2017-04-03T14:44:07.390000,193,0.14804,172,3206.4398674343965,2310.082352631861,1293.0813330304054,0.0
source,late,144400,2017-04-03T14:43:57.620000,211,2.901163,172,1160.0437354352719,853.7895561008299,498.1384880523643,0.0
source,late,144400,2017-04-03T14:44:00.620000,335,2.900762,172,51.557222647934225,36.20804502760422,26.420137027913295,0.0
dimming,pre,140400,2017-04-03T14:03:59.120000,94,2.900843,445,1.1039974594574267,1.1234610552055366,0.42964448422098117,0.0
dimming,pre,140400,2017-04-03T14:04:06.620000,131,2.90135,445,4.536964014700036,4.61445960869382,1.7025021418141497,0.0
dimming,pre,140400,2017-04-03T14:04:09.350000,171,2.00018,445,159.3635792122685,152.22613552686025,69.58636700631962,0.0
dimming,pre,140400,2017-04-03T14:04:07.030000,193,0.410796,445,205.51250477162765,202.921297187165,24.651219088439348,0.0
dimming,pre,140400,2017-04-03T14:03:57.630000,211,2.900767,445,58.78735634974489,59.36538751513852,6.603912672928199,0.0
dimming,pre,140400,2017-04-03T14:04:00.620000,335,2.900829,445,1.2579097310036396,1.3210536482607687,0.43166445654499863,0.0
dimming,early,142000,2017-04-03T14:19:59.120000,94,2.900842,445,1.0735635049418673,1.1090826791888604,0.40763098461136826,0.0
dimming,early,142000,2017-04-03T14:20:06.630000,131,2.901345,445,3.9954395978049004,4.026804882390653,1.312365909829149,0.0
dimming,early,142000,2017-04-03T14:20:09.340000,171,2.000181,445,145.6813274715425,142.17569711819746,62.2659463103646,0.0
dimming,early,142000,2017-04-03T14:20:06.640000,193,0.689326,445,204.35286737058098,200.2750323477418,28.053124771002498,0.0
dimming,early,142000,2017-04-03T14:19:57.630000,211,2.900771,445,58.67801721168789,59.290775965018994,7.334416349566005,0.0
